image_id,file_name,pfa,selected_policy,annotations,target_pixels,background_pixels,candidate_pd,raw_pd,lowrank_pd,candidate_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,delta_vs_raw,delta_vs_lowrank
349,000349.jpg,0.01,gate,1,549,137460,0.0018214936247723133,0.0,0.009107468123861567,0.0009821038847664775,0.0,0.010948639604248508,0.0018214936247723133,-0.007285974499089254
351,000351.jpg,1e-05,raw,1,567,148538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,000351.jpg,3e-05,raw,1,567,148538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,000351.jpg,0.0001,raw,1,567,148538,0.0,0.0,0.0,0.0,0.0,2.0196851984004093e-05,0.0,0.0
351,000351.jpg,0.0003,gate,1,567,148538,0.0,0.0,0.0,0.0,0.0,0.0016426772946989995,0.0,0.0
351,000351.jpg,0.001,gate,1,567,148538,0.0,0.0,0.005291005291005291,0.0,0.0,0.0029622049576539335,0.0,-0.005291005291005291
351,000351.jpg,0.003,gate,1,567,148538,0.0,0.0,0.005291005291005291,4.7125987962676214e-05,0.0,0.004234606632646192,0.0,-0.005291005291005291
351,000351.jpg,0.01,gate,1,567,148538,0.003527336860670194,0.0,0.005291005291005291,0.0009425197592535244,0.0,0.01087263865138887,0.003527336860670194,-0.001763668430335097
359,000359.jpg,1e-05,raw,1,841,172530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,000359.jpg,3e-05,raw,1,841,172530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,000359.jpg,0.0001,raw,1,841,172530,0.0,0.0,0.0,0.0,0.0,4.6368747464209126e-05,0.0,0.0
359,000359.jpg,0.0003,gate,1,841,172530,0.0,0.0,0.0,0.0,0.0,0.0007187155856952414,0.0,0.0
359,000359.jpg,0.001,gate,1,841,172530,0.0,0.0,0.0,0.0001159218686605228,0.0,0.002017040514693097,0.0,0.0
359,000359.jpg,0.003,gate,1,841,172530,0.016646848989298454,0.0,0.0,0.004265924766707239,0.0,0.00546571610734365,0.016646848989298454,0.016646848989298454
359,000359.jpg,0.01,gate,1,841,172530,0.7598097502972652,0.5338882282996433,0.0,0.0648351011418304,0.05683649220425433,0.011366139222164262,0.22592152199762183,0.7598097502972652
361,000361.jpg,1e-05,raw,4,3243,141133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,000361.jpg,3e-05,raw,4,3243,141133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,000361.jpg,0.0001,raw,4,3243,141133,0.0,0.0,0.0012334258402713536,0.0,0.0,0.0,0.0,-0.0012334258402713536
361,000361.jpg,0.0003,gate,4,3243,141133,0.5482577860006167,0.22664199814986125,0.004316990440949738,0.0,0.0,7.085515081518851e-06,0.32161578785075545,0.543940795559667
361,000361.jpg,0.001,gate,4,3243,141133,0.7974098057354302,0.5729263028060438,0.004625346901017576,0.0,0.0,0.001239965139265799,0.22448350292938635,0.7927844588344126
361,000361.jpg,0.003,gate,4,3243,141133,0.95436324390996,0.6490903484427999,0.004933703361085414,0.0,0.00011336824130430162,0.006596614540894051,0.3052728954671601,0.9494295405488745
361,000361.jpg,0.01,gate,4,3243,141133,0.9907493061979649,0.744372494603762,0.012642614862781376,9.211169605974507e-05,0.0017076091346460431,0.012484677573636216,0.24637681159420288,0.9781066913351835
369,000369.jpg,1e-05,raw,3,1001,169557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,000369.jpg,3e-05,raw,3,1001,169557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,000369.jpg,0.0001,raw,3,1001,169557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,000369.jpg,0.0003,gate,3,1001,169557,0.5374625374625375,0.3156843156843157,0.000999000999000999,0.0,0.0,0.0,0.22177822177822176,0.5364635364635365
369,000369.jpg,0.001,gate,3,1001,169557,0.7582417582417582,0.4805194805194805,0.000999000999000999,0.0,0.0,1.769316513031016e-05,0.2777222777222777,0.7572427572427572
369,000369.jpg,0.003,gate,3,1001,169557,0.9370629370629371,0.5464535464535465,0.001998001998001998,0.0,1.1795443420206774e-05,0.005697199171959872,0.3906093906093906,0.935064935064935
369,000369.jpg,0.01,gate,3,1001,169557,0.991008991008991,0.6573426573426573,0.01098901098901099,7.667038223134404e-05,0.0015982825834380179,0.015516905819282011,0.3336663336663337,0.98001998001998
371,000371.jpg,1e-05,raw,3,1335,139781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,000371.jpg,3e-05,raw,3,1335,139781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,000371.jpg,0.0001,raw,3,1335,139781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
