annotation_id,image_id,file_name,pfa,selected_policy,target_pixels,candidate_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank
24,61,000061.jpg,0.0003,gate,821,0.702801461632156,0.7271619975639464,0.00243605359317905,-0.02436053593179044,0.700365408038977
21,61,000061.jpg,0.001,gate,480,0.7625,0.7770833333333333,0.0020833333333333333,-0.014583333333333393,0.7604166666666666
22,61,000061.jpg,0.001,gate,628,0.8200636942675159,0.839171974522293,0.006369426751592357,-0.019108280254777066,0.8136942675159236
23,61,000061.jpg,0.001,gate,316,0.7246835443037974,0.7246835443037974,0.022151898734177215,0.0,0.7025316455696202
24,61,000061.jpg,0.001,gate,821,0.830694275274056,0.833130328867235,0.0060901339829476245,-0.0024360535931789995,0.8246041412911084
21,61,000061.jpg,0.003,gate,480,0.9520833333333333,0.81875,0.01875,0.1333333333333333,0.9333333333333332
22,61,000061.jpg,0.003,gate,628,0.9681528662420382,0.8742038216560509,0.006369426751592357,0.0939490445859873,0.9617834394904459
23,61,000061.jpg,0.003,gate,316,0.9208860759493671,0.7626582278481012,0.056962025316455694,0.1582278481012659,0.8639240506329114
24,61,000061.jpg,0.003,gate,821,0.9671132764920828,0.8684531059683313,0.013398294762484775,0.09866017052375153,0.953714981729598
21,61,000061.jpg,0.01,gate,480,0.9958333333333333,0.85625,0.08958333333333333,0.1395833333333334,0.90625
22,61,000061.jpg,0.01,gate,628,1.0,0.9156050955414012,0.030254777070063694,0.08439490445859876,0.9697452229299363
23,61,000061.jpg,0.01,gate,316,1.0,0.8259493670886076,0.11708860759493671,0.17405063291139244,0.8829113924050633
24,61,000061.jpg,0.01,gate,821,0.9987819732034104,0.9135200974421437,0.07429963459196103,0.08526187576126676,0.9244823386114495
25,69,000069.jpg,1e-05,raw,1171,0.0,0.0,0.0,0.0,0.0
25,69,000069.jpg,3e-05,raw,1171,0.0,0.0,0.0,0.0,0.0
25,69,000069.jpg,0.0001,raw,1171,0.0,0.0,0.0,0.0,0.0
25,69,000069.jpg,0.0003,gate,1171,0.0,0.0,0.0,0.0,0.0
25,69,000069.jpg,0.001,gate,1171,0.0,0.0,0.0,0.0,0.0
25,69,000069.jpg,0.003,gate,1171,0.012809564474807857,0.4210076857386849,0.0008539709649871904,-0.40819812126387706,0.011955593509820667
25,69,000069.jpg,0.01,gate,1171,0.5388556789069172,0.5678906917164817,0.012809564474807857,-0.029035012809564442,0.5260461144321094
26,71,000071.jpg,1e-05,raw,1186,0.0,0.0,0.0,0.0,0.0
26,71,000071.jpg,3e-05,raw,1186,0.0,0.0,0.0,0.0,0.0
26,71,000071.jpg,0.0001,raw,1186,0.0,0.0,0.0,0.0,0.0
26,71,000071.jpg,0.0003,gate,1186,0.5320404721753794,0.40219224283305227,0.0,0.12984822934232715,0.5320404721753794
26,71,000071.jpg,0.001,gate,1186,0.7757166947723441,0.5438448566610455,0.0042158516020236085,0.23187183811129852,0.7715008431703204
26,71,000071.jpg,0.003,gate,1186,0.9578414839797639,0.6112984822934233,0.007588532883642495,0.34654300168634056,0.9502529510961214
26,71,000071.jpg,0.01,gate,1186,0.9949409780775716,0.6989881956155143,0.03456998313659359,0.29595278246205736,0.9603709949409781
27,79,000079.jpg,1e-05,raw,502,0.0,0.0,0.0,0.0,0.0
28,79,000079.jpg,1e-05,raw,578,0.0,0.0,0.0,0.0,0.0
27,79,000079.jpg,3e-05,raw,502,0.0,0.0,0.0,0.0,0.0
28,79,000079.jpg,3e-05,raw,578,0.0,0.0,0.0,0.0,0.0
27,79,000079.jpg,0.0001,raw,502,0.2250996015936255,0.2250996015936255,0.0,0.0,0.2250996015936255
28,79,000079.jpg,0.0001,raw,578,0.3217993079584775,0.3217993079584775,0.0,0.0,0.3217993079584775
27,79,000079.jpg,0.0003,gate,502,0.7768924302788844,0.4302788844621514,0.00398406374501992,0.34661354581673304,0.7729083665338645
28,79,000079.jpg,0.0003,gate,578,0.8598615916955017,0.5484429065743944,0.0017301038062283738,0.31141868512110726,0.8581314878892733
27,79,000079.jpg,0.001,gate,502,0.9402390438247012,0.6075697211155379,0.00796812749003984,0.3326693227091634,0.9322709163346614
28,79,000079.jpg,0.001,gate,578,0.9775086505190311,0.6920415224913494,0.005190311418685121,0.2854671280276817,0.972318339100346
27,79,000079.jpg,0.003,gate,502,1.0,0.6613545816733067,0.01195219123505976,0.33864541832669326,0.9880478087649402
28,79,000079.jpg,0.003,gate,578,1.0,0.7474048442906575,0.012110726643598616,0.25259515570934254,0.9878892733564014
27,79,000079.jpg,0.01,gate,502,1.0,0.7171314741035857,0.06573705179282868,0.2828685258964143,0.9342629482071714
28,79,000079.jpg,0.01,gate,578,1.0,0.7975778546712803,0.04671280276816609,0.20242214532871972,0.9532871972318339
29,81,000081.jpg,1e-05,raw,4156,0.0,0.0,0.0,0.0,0.0
29,81,000081.jpg,3e-05,raw,4156,0.0,0.0,0.0,0.0,0.0
29,81,000081.jpg,0.0001,raw,4156,0.0,0.0,0.0,0.0,0.0
29,81,000081.jpg,0.0003,gate,4156,0.20259865255052936,0.5789220404234842,0.0016843118383060634,-0.37632338787295483,0.2009143407122233
29,81,000081.jpg,0.001,gate,4156,0.8272377285851781,0.762512030798845,0.005774783445620789,0.06472569778633308,0.8214629451395573
29,81,000081.jpg,0.003,gate,4156,0.9660731472569779,0.8051010587102984,0.009384023099133783,0.16097208854667955,0.9566891241578441
29,81,000081.jpg,0.01,gate,4156,0.9966313763233878,0.8582771896053898,0.025745909528392685,0.13835418671799804,0.9708854667949951
30,89,000089.jpg,1e-05,raw,232,0.0,0.0,0.0,0.0,0.0
31,89,000089.jpg,1e-05,raw,295,0.0,0.0,0.0,0.0,0.0
32,89,000089.jpg,1e-05,raw,164,0.0,0.0,0.0,0.0,0.0
33,89,000089.jpg,1e-05,raw,211,0.0,0.0,0.0,0.0,0.0
34,89,000089.jpg,1e-05,raw,336,0.0,0.0,0.0,0.0,0.0
30,89,000089.jpg,3e-05,raw,232,0.0,0.0,0.0,0.0,0.0
31,89,000089.jpg,3e-05,raw,295,0.0,0.0,0.0,0.0,0.0
32,89,000089.jpg,3e-05,raw,164,0.0,0.0,0.0,0.0,0.0
33,89,000089.jpg,3e-05,raw,211,0.0,0.0,0.0,0.0,0.0
34,89,000089.jpg,3e-05,raw,336,0.0,0.0,0.0,0.0,0.0
30,89,000089.jpg,0.0001,raw,232,0.0,0.0,0.0,0.0,0.0
31,89,000089.jpg,0.0001,raw,295,0.0,0.0,0.0,0.0,0.0
32,89,000089.jpg,0.0001,raw,164,0.0,0.0,0.0,0.0,0.0
33,89,000089.jpg,0.0001,raw,211,0.0,0.0,0.0,0.0,0.0
34,89,000089.jpg,0.0001,raw,336,0.0,0.0,0.0,0.0,0.0
30,89,000089.jpg,0.0003,gate,232,0.5387931034482759,0.3793103448275862,0.004310344827586207,0.15948275862068972,0.5344827586206897
31,89,000089.jpg,0.0003,gate,295,0.49830508474576274,0.36610169491525424,0.0,0.1322033898305085,0.49830508474576274
32,89,000089.jpg,0.0003,gate,164,0.45121951219512196,0.35365853658536583,0.0,0.09756097560975613,0.45121951219512196
33,89,000089.jpg,0.0003,gate,211,0.4976303317535545,0.35545023696682465,0.0,0.14218009478672983,0.4976303317535545
34,89,000089.jpg,0.0003,gate,336,0.6458333333333334,0.46130952380952384,0.0,0.18452380952380953,0.6458333333333334
30,89,000089.jpg,0.001,gate,232,0.7155172413793104,0.5086206896551724,0.008620689655172414,0.206896551724138,0.706896551724138
31,89,000089.jpg,0.001,gate,295,0.688135593220339,0.4847457627118644,0.003389830508474576,0.2033898305084746,0.6847457627118645
32,89,000089.jpg,0.001,gate,164,0.5853658536585366,0.4451219512195122,0.0,0.14024390243902435,0.5853658536585366
33,89,000089.jpg,0.001,gate,211,0.6492890995260664,0.4597156398104265,0.0,0.18957345971563988,0.6492890995260664
34,89,000089.jpg,0.001,gate,336,0.8273809523809523,0.5952380952380952,0.0,0.2321428571428571,0.8273809523809523
30,89,000089.jpg,0.003,gate,232,0.8922413793103449,0.5517241379310345,0.008620689655172414,0.3405172413793104,0.8836206896551725
31,89,000089.jpg,0.003,gate,295,0.9220338983050848,0.5152542372881356,0.003389830508474576,0.4067796610169492,0.9186440677966102
32,89,000089.jpg,0.003,gate,164,0.7926829268292683,0.4817073170731707,0.012195121951219513,0.3109756097560976,0.7804878048780488
33,89,000089.jpg,0.003,gate,211,0.8720379146919431,0.5023696682464455,0.004739336492890996,0.3696682464454977,0.8672985781990521
34,89,000089.jpg,0.003,gate,336,0.9672619047619048,0.6398809523809523,0.005952380952380952,0.32738095238095244,0.9613095238095238
30,89,000089.jpg,0.01,gate,232,0.9827586206896551,0.646551724137931,0.06465517241379311,0.3362068965517241,0.918103448275862
31,89,000089.jpg,0.01,gate,295,0.9932203389830508,0.6237288135593221,0.04406779661016949,0.36949152542372876,0.9491525423728814
32,89,000089.jpg,0.01,gate,164,0.9390243902439024,0.573170731707317,0.10365853658536585,0.36585365853658536,0.8353658536585366
33,89,000089.jpg,0.01,gate,211,0.966824644549763,0.5545023696682464,0.10900473933649289,0.4123222748815166,0.8578199052132701
34,89,000089.jpg,0.01,gate,336,0.9940476190476191,0.7113095238095238,0.07142857142857142,0.28273809523809523,0.9226190476190477
35,91,000091.jpg,1e-05,raw,2689,0.0,0.0,0.0,0.0,0.0
35,91,000091.jpg,3e-05,raw,2689,0.0,0.0,0.0,0.0,0.0
35,91,000091.jpg,0.0001,raw,2689,0.0,0.0,0.0,0.0,0.0
35,91,000091.jpg,0.0003,gate,2689,0.6801785050204537,0.5619189289698773,0.0026031982149497955,0.11825957605057646,0.6775753068055039
35,91,000091.jpg,0.001,gate,2689,0.8735589438452956,0.7129044254369654,0.005578281889178133,0.16065451840833023,0.8679806619561176
35,91,000091.jpg,0.003,gate,2689,0.9825213834139085,0.7735217552993678,0.010784678319077723,0.20899962811454065,0.9717367050948308
35,91,000091.jpg,0.01,gate,2689,0.9985124581628858,0.8363703979174414,0.029750836742283376,0.16214206024544442,0.9687616214206024
36,99,000099.jpg,1e-05,raw,1680,0.0,0.0,0.0,0.0,0.0
36,99,000099.jpg,3e-05,raw,1680,0.0,0.0,0.0,0.0,0.0
36,99,000099.jpg,0.0001,raw,1680,0.0,0.0,0.0,0.0,0.0
36,99,000099.jpg,0.0003,gate,1680,0.4494047619047619,0.2720238095238095,0.0005952380952380953,0.17738095238095242,0.4488095238095238
