method,rank,alpha,gate_percentile,subset,variant,clutter_attenuation_db,target_loss_db,target_retention_ratio,score_mean,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,path,image_index
oracle_gate,5,,50.0,simMed,oracle_gate_k5_p50,8.938118691179625,-2.943911861246799e-06,1.0000006778609865,7.249943767992378,0.001,362.2715562192308,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,50.0,simMed,oracle_gate_k5_p50,8.938118691179625,-2.943911861246799e-06,1.0000006778609865,7.249943767992378,0.003,129.09987267762324,0.9069767441860465,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,50.0,simMed,oracle_gate_k5_p50,8.938118691179625,-2.943911861246799e-06,1.0000006778609865,7.249943767992378,0.01,60.79748826038869,1.0,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,70.0,simMed,oracle_gate_k5_p70,8.131159328012934,-3.001959228604784e-05,1.0000069122904593,8.73032827926205,1e-05,8259.666061916438,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,70.0,simMed,oracle_gate_k5_p70,8.131159328012934,-3.001959228604784e-05,1.0000069122904593,8.73032827926205,3e-05,5966.361670191444,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,70.0,simMed,oracle_gate_k5_p70,8.131159328012934,-3.001959228604784e-05,1.0000069122904593,8.73032827926205,0.0001,4068.4319949616593,0.20930232558139536,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,70.0,simMed,oracle_gate_k5_p70,8.131159328012934,-3.001959228604784e-05,1.0000069122904593,8.73032827926205,0.0003,1913.6526588375905,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,70.0,simMed,oracle_gate_k5_p70,8.131159328012934,-3.001959228604784e-05,1.0000069122904593,8.73032827926205,0.001,362.2715562192308,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,70.0,simMed,oracle_gate_k5_p70,8.131159328012934,-3.001959228604784e-05,1.0000069122904593,8.73032827926205,0.003,140.02295406887367,0.9069767441860465,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,70.0,simMed,oracle_gate_k5_p70,8.131159328012934,-3.001959228604784e-05,1.0000069122904593,8.73032827926205,0.01,69.18896208511653,0.9767441860465116,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,80.0,simMed,oracle_gate_k5_p80,7.81430725894313,-6.787862527362772e-05,1.0000156297532121,9.391085214278178,1e-05,8259.666061916438,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,80.0,simMed,oracle_gate_k5_p80,7.81430725894313,-6.787862527362772e-05,1.0000156297532121,9.391085214278178,3e-05,5966.361670191444,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,80.0,simMed,oracle_gate_k5_p80,7.81430725894313,-6.787862527362772e-05,1.0000156297532121,9.391085214278178,0.0001,4068.4319949616593,0.20930232558139536,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,80.0,simMed,oracle_gate_k5_p80,7.81430725894313,-6.787862527362772e-05,1.0000156297532121,9.391085214278178,0.0003,1913.6526588375905,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,80.0,simMed,oracle_gate_k5_p80,7.81430725894313,-6.787862527362772e-05,1.0000156297532121,9.391085214278178,0.001,363.18470159348675,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,80.0,simMed,oracle_gate_k5_p80,7.81430725894313,-6.787862527362772e-05,1.0000156297532121,9.391085214278178,0.003,144.50483873927092,0.9069767441860465,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,80.0,simMed,oracle_gate_k5_p80,7.81430725894313,-6.787862527362772e-05,1.0000156297532121,9.391085214278178,0.01,73.43837320614432,0.9767441860465116,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,90.0,simMed,oracle_gate_k5_p90,7.499260975174586,-0.0014116311385100285,1.0003250929128853,10.097652241391414,1e-05,8259.666061916438,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,90.0,simMed,oracle_gate_k5_p90,7.499260975174586,-0.0014116311385100285,1.0003250929128853,10.097652241391414,3e-05,5966.361670191444,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,90.0,simMed,oracle_gate_k5_p90,7.499260975174586,-0.0014116311385100285,1.0003250929128853,10.097652241391414,0.0001,4068.4319949616593,0.20930232558139536,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,90.0,simMed,oracle_gate_k5_p90,7.499260975174586,-0.0014116311385100285,1.0003250929128853,10.097652241391414,0.0003,1913.6526588375905,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,90.0,simMed,oracle_gate_k5_p90,7.499260975174586,-0.0014116311385100285,1.0003250929128853,10.097652241391414,0.001,363.18470159348675,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,90.0,simMed,oracle_gate_k5_p90,7.499260975174586,-0.0014116311385100285,1.0003250929128853,10.097652241391414,0.003,153.12495360482566,0.8837209302325582,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_gate,5,,90.0,simMed,oracle_gate_k5_p90,7.499260975174586,-0.0014116311385100285,1.0003250929128853,10.097652241391414,0.01,76.72538489288613,0.9767441860465116,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
