phase,asset,method,pfa_target,frames,alarm_budget_per_frame,finite_grid_alarm_rate,target_count,target_detections,pd_pooled,pd_macro,background_count,false_alarms,realized_pfa,pfa_cp95_upper
target_bearing,simWind_test.mat,ace_steering_bank,0.01,105,656,0.010009765625,3943,1282,0.3251331473497337,0.3283327718414244,6877337,67598,0.00982909518611637,0.009891197494151327
target_bearing,simWind_test.mat,amf_steering_bank,1e-05,105,1,1.52587890625e-05,3943,96,0.024346943951306113,0.02928365528311522,6877337,9,1.3086460646032032e-06,2.283617738525517e-06
target_bearing,simWind_test.mat,amf_steering_bank,3e-05,105,2,3.0517578125e-05,3943,167,0.04235353791529292,0.050902663598030404,6877337,43,6.252420086437526e-06,8.062561312006993e-06
target_bearing,simWind_test.mat,amf_steering_bank,0.0001,105,7,0.0001068115234375,3943,459,0.11640882576718235,0.1325519917535872,6877337,276,4.013181264783157e-05,4.433864383583802e-05
target_bearing,simWind_test.mat,amf_steering_bank,0.0003,105,20,0.00030517578125,3943,1024,0.2597007354805985,0.28820109125426363,6877337,1076,0.00015645590727922742,0.00016453144798252365
target_bearing,simWind_test.mat,amf_steering_bank,0.001,105,66,0.001007080078125,3943,2104,0.5336038549327923,0.5642083818075372,6877337,4826,0.0007017251008638954,0.0007185634377887563
target_bearing,simWind_test.mat,amf_steering_bank,0.003,105,197,0.0030059814453125,3943,3107,0.7879786964240426,0.7887159449575024,6877337,17578,0.002555931169288345,0.002587828240654087
target_bearing,simWind_test.mat,amf_steering_bank,0.01,105,656,0.010009765625,3943,3419,0.8671062642657875,0.8584611167663473,6877337,65461,0.009518364448332255,0.009579490488374085
target_bearing,simWind_test.mat,anmf_steering_bank,1e-05,105,1,1.52587890625e-05,3943,10,0.00253613999492772,0.0031733549949053163,6877337,95,1.3813486237478256e-05,1.6381957899307314e-05
target_bearing,simWind_test.mat,anmf_steering_bank,3e-05,105,2,3.0517578125e-05,3943,19,0.004818665990362668,0.0057339974777703894,6877337,191,2.7772377593245758e-05,3.1312349223785856e-05
target_bearing,simWind_test.mat,anmf_steering_bank,0.0001,105,7,0.0001068115234375,3943,57,0.014455997971088003,0.0168935979455456,6877337,678,9.858467020010798e-05,0.00010504350614009243
target_bearing,simWind_test.mat,anmf_steering_bank,0.0003,105,20,0.00030517578125,3943,152,0.03854932792290135,0.041912615297190745,6877337,1948,0.00028324917042744886,0.00029403376489760117
target_bearing,simWind_test.mat,anmf_steering_bank,0.001,105,66,0.001007080078125,3943,365,0.09256910981486179,0.09644934359884016,6877337,6565,0.0009545846015688921,0.0009741829271188344
target_bearing,simWind_test.mat,anmf_steering_bank,0.003,105,197,0.0030059814453125,3943,743,0.1884352016231296,0.1930954291956116,6877337,19942,0.00289966886892412,0.0029336223555251964
target_bearing,simWind_test.mat,anmf_steering_bank,0.01,105,656,0.010009765625,3943,1282,0.3251331473497337,0.3283327718414244,6877337,67598,0.00982909518611637,0.009891197494151327
target_bearing,simWind_test.mat,kelly_steering_bank,1e-05,105,1,1.52587890625e-05,3943,96,0.024346943951306113,0.02928365528311522,6877337,9,1.3086460646032032e-06,2.283617738525517e-06
