dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simWind,0,low_rank_residual,10,0.01,46.01198975298228,0.9767441860465116,0.010001068816514741,43,65493
simWind,0,low_rank_residual,10,0.001,233.01296729050674,0.7209302325581395,0.001007741285328203,43,65493
simWind,0,low_rank_residual,10,0.0001,2114.605671521602,0.23255813953488372,0.00010688165147420336,43,65493
simWind,0,low_rank_residual,20,0.01,26.853342050277618,0.9534883720930233,0.010001068816514741,43,65493
simWind,0,low_rank_residual,20,0.001,160.95281129481347,0.7674418604651163,0.001007741285328203,43,65493
simWind,0,low_rank_residual,20,0.0001,949.1081473518517,0.3023255813953488,0.00010688165147420336,43,65493
simWind,1,raw,0,0.01,439.58820901388657,0.0,0.010009918364232854,1,65535
simWind,1,raw,0,0.001,1486.4793470682973,0.0,0.001007095445181964,1,65535
simWind,1,raw,0,0.0001,3108.055787339073,0.0,0.00010681315327687495,1,65535
simWind,1,low_rank_residual,1,0.01,225.64904300164744,0.0,0.010009918364232854,1,65535
simWind,1,low_rank_residual,1,0.001,691.4373827657755,0.0,0.001007095445181964,1,65535
simWind,1,low_rank_residual,1,0.0001,1255.1036502857598,0.0,0.00010681315327687495,1,65535
simWind,1,low_rank_residual,3,0.01,59.88659664444156,0.0,0.010009918364232854,1,65535
simWind,1,low_rank_residual,3,0.001,169.47497019054632,0.0,0.001007095445181964,1,65535
simWind,1,low_rank_residual,3,0.0001,388.6779821671118,0.0,0.00010681315327687495,1,65535
simWind,1,low_rank_residual,5,0.01,32.18581183502024,0.0,0.010009918364232854,1,65535
simWind,1,low_rank_residual,5,0.001,88.04186928144799,0.0,0.001007095445181964,1,65535
simWind,1,low_rank_residual,5,0.0001,166.26970976708526,0.0,0.00010681315327687495,1,65535
simWind,1,low_rank_residual,10,0.01,13.961548157757447,0.0,0.010009918364232854,1,65535
simWind,1,low_rank_residual,10,0.001,30.358780837090475,0.0,0.001007095445181964,1,65535
simWind,1,low_rank_residual,10,0.0001,48.922706325053724,0.0,0.00010681315327687495,1,65535
simWind,1,low_rank_residual,20,0.01,7.148411486017556,0.0,0.010009918364232854,1,65535
simWind,1,low_rank_residual,20,0.001,14.504262539032368,0.0,0.001007095445181964,1,65535
simWind,1,low_rank_residual,20,0.0001,26.538625176876536,0.0,0.00010681315327687495,1,65535
