dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simNoiseOnly,0,low_rank_residual,15,0.003,191.90985948561362,0.8372093023255814,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,15,0.01,163.45234870651484,0.8604651162790697,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,20,1e-05,1421.9710771497614,0.11627906976744186,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,20,3e-05,1155.0841365516362,0.27906976744186046,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,20,0.0001,776.2697589798361,0.3953488372093023,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,20,0.0003,466.46411767279295,0.46511627906976744,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,20,0.001,217.7119515038212,0.7674418604651163,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,20,0.003,180.5245810716286,0.813953488372093,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,20,0.01,155.95075094556861,0.8604651162790697,0.010001068816514741,43,65493
simNoiseOnly,0,low_rank_residual,30,1e-05,1028.6928358480832,0.16279069767441862,1.526880735345762e-05,43,65493
simNoiseOnly,0,low_rank_residual,30,3e-05,931.7422928664653,0.23255813953488372,3.053761470691524e-05,43,65493
simNoiseOnly,0,low_rank_residual,30,0.0001,554.3133995242542,0.4418604651162791,0.00010688165147420336,43,65493
simNoiseOnly,0,low_rank_residual,30,0.0003,334.9241901382627,0.627906976744186,0.00030537614706915243,43,65493
simNoiseOnly,0,low_rank_residual,30,0.001,190.93031744736643,0.7441860465116279,0.001007741285328203,43,65493
simNoiseOnly,0,low_rank_residual,30,0.003,161.95693170246312,0.7906976744186046,0.0030079550486311513,43,65493
simNoiseOnly,0,low_rank_residual,30,0.01,139.55624403065028,0.8604651162790697,0.010001068816514741,43,65493
simNoiseOnly,1,raw,0,1e-05,259.68767169039285,0.0,1.5259021896696422e-05,1,65535
simNoiseOnly,1,raw,0,3e-05,234.7135906011592,0.0,3.0518043793392844e-05,1,65535
simNoiseOnly,1,raw,0,0.0001,220.12160949473142,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,raw,0,0.0003,210.58103153562908,0.0,0.00030518043793392844,1,65535
simNoiseOnly,1,raw,0,0.001,191.7270827581762,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,raw,0,0.003,172.28170385988082,0.0,0.0030060273136491952,1,65535
simNoiseOnly,1,raw,0,0.01,151.7102745480728,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,low_rank_residual,1,1e-05,256.43358854919313,0.0,1.5259021896696422e-05,1,65535
simNoiseOnly,1,low_rank_residual,1,3e-05,232.21182705043745,0.0,3.0518043793392844e-05,1,65535
simNoiseOnly,1,low_rank_residual,1,0.0001,218.1653629651029,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,low_rank_residual,1,0.0003,207.52297845369523,0.0,0.00030518043793392844,1,65535
simNoiseOnly,1,low_rank_residual,1,0.001,189.56770533880652,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,low_rank_residual,1,0.003,170.3797298744297,0.0,0.0030060273136491952,1,65535
simNoiseOnly,1,low_rank_residual,1,0.01,149.94745629327804,0.0,0.010009918364232854,1,65535
simNoiseOnly,1,low_rank_residual,2,1e-05,257.7728361612085,0.0,1.5259021896696422e-05,1,65535
simNoiseOnly,1,low_rank_residual,2,3e-05,234.29433040169675,0.0,3.0518043793392844e-05,1,65535
simNoiseOnly,1,low_rank_residual,2,0.0001,214.9972988233962,0.0,0.00010681315327687495,1,65535
simNoiseOnly,1,low_rank_residual,2,0.0003,206.07934734141082,0.0,0.00030518043793392844,1,65535
simNoiseOnly,1,low_rank_residual,2,0.001,188.1585397968969,0.0,0.001007095445181964,1,65535
simNoiseOnly,1,low_rank_residual,2,0.003,169.09645589735243,0.0,0.0030060273136491952,1,65535
simNoiseOnly,1,low_rank_residual,2,0.01,148.1500099049122,0.0,0.010009918364232854,1,65535
