pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,dataset,file,window_index,item_id,method,beta,primary_target_bin_1indexed,guard_bins_1indexed,residual_threshold,gate_threshold
0.003,7.478972990109883,0.0,0.0029296875,1024,10240,30,30,30,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.01,6.746880589978134,0.005859375,0.0099609375,1024,10240,102,102,109,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,2,19931107_135603_starea.cdf#2,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
1e-05,1230934765.4208958,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,raw,,9,"8,9,10,11",,
3e-05,1230934765.4208958,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,raw,,9,"8,9,10,11",,
0.0001,1214460946.5746024,0.0,9.765625e-05,1024,10240,1,1,1,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,raw,,9,"8,9,10,11",,
0.0003,697638233.542337,0.0,0.00029296875,1024,10240,3,3,3,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,raw,,9,"8,9,10,11",,
0.001,449719865.398527,0.0,0.0009765625,1024,10240,10,10,10,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,raw,,9,"8,9,10,11",,
0.003,331555618.61607,0.0,0.0029296875,1024,10240,30,30,30,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,raw,,9,"8,9,10,11",,
0.01,179907228.4729191,0.0,0.0099609375,1024,10240,102,102,102,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,raw,,9,"8,9,10,11",,
1e-05,166399.9112114785,0.0,0.0,1024,10240,0,0,2,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,low_rank_residual_k30,,9,"8,9,10,11",,
3e-05,166399.9112114785,0.0,0.0,1024,10240,0,0,2,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,low_rank_residual_k30,,9,"8,9,10,11",,
0.0001,153915.9219988531,0.0,9.765625e-05,1024,10240,1,1,3,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,low_rank_residual_k30,,9,"8,9,10,11",,
