calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,tpsscs_false_alarms_total,background_count_total,pfa_ceiling,tpsscs_pfa_calibrated,raw_pfa_calibrated,lowrank_pfa_calibrated,beats_raw,beats_lowrank
same_asset_target_free_conservative,1.0,1.0,simMed_test.mat,0.0001,105,0.7187517899228977,0.21193421477767457,0.6348799098149865,0.5068175751452231,0.08387188010791113,0.0019204885380638677,0.00024342275173026146,0.0018844251586887034,13206,6877337,0.00010510000000000001,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simMed_test.mat,0.0003,105,0.7685700754250505,0.27226115710582666,0.6955290520465752,0.49630891831922386,0.07304102337847529,0.003281655902985435,0.0005301766263308646,0.003249664412204036,22566,6877337,0.00031509999999999996,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simMed_test.mat,0.001,105,0.8193163596384844,0.36070301889035294,0.7560615226764654,0.4586133407481314,0.06325483696201895,0.00681251358804661,0.0015271243818366577,0.006786339081300921,46846,6877337,0.0010501000000000002,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simMed_test.mat,0.003,105,0.8643574539276566,0.46503395446457113,0.8094213034402946,0.3993234994630855,0.054936150487362,0.014057800616659611,0.004042180580306112,0.014035552401467023,96669,6877337,0.0031501,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simMed_test.mat,0.01,105,0.9038321645381988,0.6385749137510481,0.8555976100278461,0.2652572507871507,0.048234554510352745,0.034100485348711435,0.011965257684078724,0.03408129105273032,234497,6877337,0.0105001,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simWind_test.mat,1e-05,105,0.6350041941243904,0.1356314737309295,0.5146669373547608,0.4993727203934608,0.12033725676962959,0.0008683457774751371,4.435237379505854e-05,0.000796073936883479,5971,6877337,1.0600000000000002e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simWind_test.mat,3e-05,105,0.6692204869483309,0.1810977740054476,0.5595163466673178,0.48812271294288334,0.10970414028101316,0.0010963737250418717,9.044882416471023e-05,0.0010312276611371004,7539,6877337,3.16e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simWind_test.mat,0.0001,105,0.7225925721118106,0.24698450192934282,0.6273049352666404,0.47560807018246776,0.09528763684517016,0.0017910717781608437,0.0002531639469931158,0.0017346508383130094,12316,6877337,0.00010510000000000001,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simWind_test.mat,0.0003,105,0.7660825690721336,0.3169162069779237,0.6813941782610888,0.44916636209420985,0.08468839081104473,0.003101348378127662,0.0005879019402014741,0.0030517622606320636,21326,6877337,0.00031509999999999996,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simWind_test.mat,0.001,105,0.8185869973642589,0.3987042930048319,0.7453734340825409,0.419882704359427,0.07321356328171802,0.006434611472799163,0.0015394806227098448,0.006390551365043908,44247,6877337,0.0010501000000000002,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simWind_test.mat,0.003,105,0.8642737567095174,0.5055600980030657,0.8000547557521641,0.3587136587064518,0.06421900095735333,0.01344365578169227,0.0040296560480656595,0.013406575882506504,92445,6877337,0.0031501,False,False,False,True,True
same_asset_target_free_conservative,1.0,1.0,simWind_test.mat,0.01,105,0.8986038581302221,0.677697574640705,0.8444455470946568,0.22090628348951713,0.05415831103556534,0.03244515560351655,0.0117727087327269,0.03241462004537092,223112,6877337,0.0105001,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,combined,1e-05,210,0.6230715692507802,0.12159898094895295,0.5102623905974354,0.5014725883018273,0.11280917865334483,0.0008890691076385087,4.0789765138511033e-05,0.0008301025008071062,12227,13754674,1.0600000000000002e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,combined,3e-05,210,0.6638260893499355,0.1683596570954903,0.5610536679146784,0.4954664322544452,0.10277242143525711,0.0011548331500809363,8.81948571719326e-05,0.0011016108208633116,15882,13754674,3.16e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,combined,0.0001,210,0.7206721810173542,0.2294593583535087,0.6310924225408134,0.49121282266384547,0.08957975847654076,0.0018556347464397408,0.00024829334936168863,0.0018095379985008564,25520,13754674,0.00010510000000000001,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,combined,0.0003,210,0.7673263222485921,0.2945886820418752,0.6884616151538321,0.4727376402067169,0.07886470709476001,0.0031913567288839343,0.0005590392832661693,0.0031507133364180495,43890,13754674,0.00031509999999999996,False,False,False,True,True
