label_budget,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
4,simWind_test.mat,0.001,0.709979513423963,0.3967692897223211,0.3132102237016419,0.0009923899783219553,0.0007009770430736068,105,315,3,0.8698412698412699,True,True,True,0.001
4,simMed_test.mat,0.003,0.8138666025670928,0.7260225873996091,0.08784401516748373,0.0029924374730939812,0.0028529859658632728,105,315,3,0.7238095238095238,True,True,True,0.003
4,combined,3e-05,0.2358216637678027,0.008945242270715146,0.22687642149708753,1.526753812803079e-05,1.623590293955625e-06,210,630,3,0.9873015873015873,True,True,True,3e-05
4,simWind_test.mat,1e-05,0.18451921564993898,0.0034776253335281975,0.18104159031641076,0.0,0.0,105,315,3,0.9968253968253968,True,True,True,1e-05
4,simMed_test.mat,0.01,0.8692331860864191,0.848543497916195,0.020689688170224083,0.009992820396478945,0.009763466114276642,105,315,3,0.5936507936507937,True,True,True,0.01
4,simMed_test.mat,0.001,0.6957533928816516,0.4949895508042891,0.20076384207736248,0.0009923899783219553,0.0008036366472133611,105,315,3,0.780952380952381,True,True,True,0.001
8,simMed_test.mat,1e-05,0.184544890419632,0.014104022825475649,0.1704408675941564,0.0,0.0,105,315,3,0.9523809523809523,True,True,True,1e-05
8,simMed_test.mat,0.0003,0.5154646610355453,0.26655255548863,0.2489121055469154,0.0002900832244325381,0.0002418029101473321,105,315,3,0.9365079365079365,True,True,True,0.0003
8,simMed_test.mat,0.0001,0.3631281887560889,0.13129594596677369,0.2318322427893152,9.160522876818475e-05,5.811214152235944e-05,105,315,3,0.9238095238095239,True,True,True,0.0001
8,simWind_test.mat,1e-05,0.18451921564993898,0.01676602786333399,0.16775318778660497,0.0,0.0,105,315,3,0.9587301587301588,True,True,True,1e-05
8,simMed_test.mat,0.01,0.8692331860864191,0.8275222354666063,0.04171095061981293,0.009992820396478945,0.009756730967902983,105,315,3,0.6984126984126984,True,True,True,0.01
8,simMed_test.mat,0.003,0.8138666025670928,0.66536959879151,0.14849700377558273,0.0029924374730939812,0.0029619519897316317,105,315,3,0.8603174603174604,True,True,True,0.003
8,simMed_test.mat,0.001,0.6957533928816516,0.4501350813224334,0.24561831155921815,0.0009923899783219553,0.0009528850534304588,105,315,3,0.9174603174603174,True,True,True,0.001
8,simWind_test.mat,0.003,0.812213539733551,0.7227620434674664,0.08945149626608463,0.0029924374730939812,0.002924098822837019,105,315,3,0.6476190476190476,True,True,True,0.003
8,simWind_test.mat,0.0003,0.5368152651851739,0.3115525401868478,0.22526272499832609,0.0002900832244325381,0.00022828118926872888,105,315,3,0.726984126984127,True,True,True,0.0003
8,simWind_test.mat,0.0001,0.3732452108276595,0.13474212248422124,0.2385030883434382,9.160522876818475e-05,4.250523570002064e-05,105,315,3,0.8507936507936508,True,True,True,0.0001
8,simWind_test.mat,3e-05,0.23871466421913762,0.03460142608533078,0.2041132381338068,1.526753812803079e-05,3.2958298443655016e-06,105,315,3,0.9333333333333333,True,True,True,3e-05
8,simWind_test.mat,0.01,0.8663473290962685,0.8737810101380602,-0.007433681041791779,0.009992820396478945,0.009842817420531228,105,315,3,0.4095238095238095,True,True,False,0.01
8,simMed_test.mat,3e-05,0.23292866331646772,0.03127903884655336,0.20164962446991438,1.526753812803079e-05,4.701187005175655e-06,105,315,3,0.9587301587301588,True,True,True,3e-05
8,combined,0.01,0.8677902575913438,0.8506516228023332,0.017138634789010575,0.009992820396478945,0.009799774194217107,210,630,3,0.553968253968254,True,True,True,0.01
8,combined,0.001,0.7028664531528073,0.4799166497674158,0.22294980338539144,0.0009923899783219553,0.0009424395208780908,210,630,3,0.8047619047619048,True,True,True,0.001
8,simWind_test.mat,0.001,0.709979513423963,0.5096982182123982,0.20028129521156476,0.0009923899783219553,0.0009319939883257229,105,315,3,0.692063492063492,True,True,True,0.001
8,combined,0.0003,0.5261399631103596,0.28905254783773887,0.23708741527262076,0.0002900832244325381,0.0002350420497080305,210,630,3,0.8317460317460318,True,True,True,0.0003
8,combined,0.003,0.813040071150322,0.6940658211294882,0.11897425002083367,0.0029924374730939812,0.0029430254062843253,210,630,3,0.753968253968254,True,True,True,0.003
8,combined,1e-05,0.18453205303478548,0.01543502534440482,0.16909702769038068,0.0,0.0,210,630,3,0.9555555555555556,True,True,True,1e-05
8,combined,0.0001,0.3681866997918742,0.13301903422549746,0.23516766556637672,9.160522876818475e-05,5.0308688611190035e-05,210,630,3,0.8873015873015873,True,True,True,0.0001
8,combined,3e-05,0.2358216637678027,0.032940232465942076,0.2028814313018606,1.526753812803079e-05,3.998508424770579e-06,210,630,3,0.946031746031746,True,True,True,3e-05
16,combined,3e-05,0.2358216637678027,0.07713233807290662,0.15868932569489605,1.526753812803079e-05,8.893718601471577e-06,210,630,3,0.8809523809523809,True,True,True,3e-05
16,combined,0.0003,0.5261399631103596,0.45188348930398425,0.07425647380637533,0.0002900832244325381,0.000270765944067309,210,630,3,0.6571428571428571,True,True,True,0.0003
16,combined,0.001,0.7028664531528073,0.6867446487636935,0.01612180438911385,0.0009923899783219553,0.0009827923344237622,210,630,3,0.4857142857142857,True,True,True,0.001
16,combined,1e-05,0.18453205303478548,0.03957888634280319,0.1449531666919823,0.0,0.0,210,630,3,0.9,True,True,True,1e-05
16,simWind_test.mat,0.01,0.8663473290962685,0.9007364840728422,-0.03438915497657372,0.009992820396478945,0.009795379989878875,105,315,3,0.2857142857142857,True,True,False,0.01
16,combined,0.0001,0.3681866997918742,0.23430777869071615,0.133878921101158,9.160522876818475e-05,7.417942459514662e-05,210,630,3,0.7968253968253968,True,True,True,0.0001
16,combined,0.01,0.8677902575913438,0.8787185075709072,-0.010928249979563435,0.009992820396478945,0.009879513116127005,210,630,3,0.4174603174603175,True,True,False,0.01
16,combined,0.003,0.813040071150322,0.8120605109181597,0.000979560232162297,0.0029924374730939812,0.002974769984706161,210,630,3,0.4777777777777778,True,True,True,0.003
16,simMed_test.mat,0.0001,0.3631281887560889,0.1965454051262336,0.16658278362985526,9.160522876818475e-05,7.492976555707462e-05,105,315,3,0.8666666666666667,True,True,True,0.0001
16,simMed_test.mat,0.0003,0.5154646610355453,0.42990250852408957,0.08556215251145582,0.0002900832244325381,0.0002767526310421345,105,315,3,0.6857142857142857,True,True,True,0.0003
16,simMed_test.mat,3e-05,0.23292866331646772,0.06270429755958079,0.17022436575688696,1.526753812803079e-05,8.820950045372635e-06,105,315,3,0.9206349206349206,True,True,True,3e-05
16,simMed_test.mat,1e-05,0.184544890419632,0.032213753478308814,0.1523311369413232,0.0,0.0,105,315,3,0.9206349206349206,True,True,True,1e-05
16,simMed_test.mat,0.001,0.6957533928816516,0.6788844190131478,0.0168689738685038,0.0009923899783219553,0.000986621978728173,105,315,3,0.5047619047619047,True,True,True,0.001
16,simWind_test.mat,0.003,0.812213539733551,0.8286820645644485,-0.016468524830897623,0.0029924374730939812,0.002969802296347183,105,315,3,0.38095238095238093,True,True,False,0.003
16,simMed_test.mat,0.01,0.8692331860864191,0.8567005310689723,0.012532655017446851,0.009992820396478945,0.009963646242375133,105,315,3,0.5492063492063493,True,True,True,0.01
16,simWind_test.mat,1e-05,0.18451921564993898,0.04694401920729757,0.1375751964426414,0.0,0.0,105,315,3,0.8793650793650793,True,True,True,1e-05
16,simWind_test.mat,3e-05,0.23871466421913762,0.09156037858623245,0.14715428563290517,1.526753812803079e-05,8.96648715757052e-06,105,315,3,0.8412698412698413,True,True,True,3e-05
16,simWind_test.mat,0.0001,0.3732452108276595,0.2720701522551987,0.10117505857246076,9.160522876818475e-05,7.342908363321861e-05,105,315,3,0.726984126984127,True,True,True,0.0001
16,simWind_test.mat,0.0003,0.5368152651851739,0.47386447008387905,0.06295079510129485,0.0002900832244325381,0.0002647792570924835,105,315,3,0.6285714285714286,True,True,True,0.0003
16,simWind_test.mat,0.001,0.709979513423963,0.6946048785142392,0.015374634909723899,0.0009923899783219553,0.0009789626901193515,105,315,3,0.4666666666666667,True,True,True,0.001
16,simMed_test.mat,0.003,0.8138666025670928,0.7954389572718706,0.018427645295222214,0.0029924374730939812,0.002979737673065139,105,315,3,0.5746031746031746,True,True,True,0.003
32,simWind_test.mat,0.003,0.812213539733551,0.8697545578954339,-0.057541018161882854,0.0029924374730939812,0.0029909351378434516,105,315,3,0.2,True,True,False,0.003
32,combined,0.001,0.7028664531528073,0.7327873178738478,-0.0299208647210405,0.0009923899783219553,0.0009886083164221883,210,630,3,0.32063492063492066,True,True,False,0.001
32,combined,0.003,0.813040071150322,0.8297453342426356,-0.016705263092313665,0.0029924374730939812,0.0029913227346659633,210,630,3,0.34285714285714286,True,True,False,0.003
