pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
1e-05,0.9996889147619881,0.10526315789473684,0.0,57,65479,0,0,6,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9996778136361443,0.10526315789473684,1.5272071962003084e-05,57,65479,1,1,7,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9989248496371469,0.45614035087719296,9.163243177201851e-05,57,65479,6,6,32,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9954199841553142,0.5789473684210527,0.0002901693672780586,57,65479,19,19,52,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9275249236553628,0.8070175438596491,0.0009926846775302005,57,65479,65,65,111,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.6886362132940576,0.9122807017543859,0.0029933261045526046,57,65479,196,196,248,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.24828489174446353,0.9649122807017544,0.009987935063150018,57,65479,654,654,709,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9987556807563451,0.6470588235294118,0.0,17,65519,0,0,11,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.998077366450618,0.6470588235294118,1.526274821044277e-05,17,65519,1,1,12,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.990733984775759,0.7647058823529411,9.157648926265664e-05,17,65519,6,6,19,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9660518383061867,0.7647058823529411,0.00028999221599841266,17,65519,19,19,32,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.8628821560264357,0.7647058823529411,0.0009920786336787802,17,65519,65,65,78,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.6027811608416488,0.8235294117647058,0.0029914986492467835,17,65519,196,196,210,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
