asset,item_id,image_index,target_count,method,log_pfa_auc_pd,pfa_points
simMed_test.mat,simMed_test.mat#29,29,26,tpsscs_trainable_gate,0.4223649914728573,7
simMed_test.mat,simMed_test.mat#3,3,28,low_rank_residual_k30,0.5029960261676633,7
simMed_test.mat,simMed_test.mat#3,3,28,raw,0.3499846648133594,7
simMed_test.mat,simMed_test.mat#3,3,28,tpsscs_finished_detector,0.5679274846133695,7
simMed_test.mat,simMed_test.mat#3,3,28,tpsscs_trainable_gate,0.5296455574457565,7
simMed_test.mat,simMed_test.mat#31,31,25,low_rank_residual_k30,0.4624403994965693,7
simMed_test.mat,simMed_test.mat#31,31,25,raw,0.36274544943364057,7
simMed_test.mat,simMed_test.mat#31,31,25,tpsscs_finished_detector,0.5024403994965693,7
simMed_test.mat,simMed_test.mat#31,31,25,tpsscs_trainable_gate,0.4925929244651049,7
simMed_test.mat,simMed_test.mat#32,32,27,low_rank_residual_k30,0.5307435410548585,7
simMed_test.mat,simMed_test.mat#32,32,27,raw,0.2703544672138542,7
simMed_test.mat,simMed_test.mat#32,32,27,tpsscs_finished_detector,0.6048176151289325,7
simMed_test.mat,simMed_test.mat#32,32,27,tpsscs_trainable_gate,0.5930368434074594,7
simMed_test.mat,simMed_test.mat#33,33,36,low_rank_residual_k30,0.5585213188326362,7
simMed_test.mat,simMed_test.mat#33,33,36,raw,0.440148002925965,7
simMed_test.mat,simMed_test.mat#33,33,36,tpsscs_finished_detector,0.5699894727896718,7
simMed_test.mat,simMed_test.mat#33,33,36,tpsscs_trainable_gate,0.5655716833941193,7
simMed_test.mat,simMed_test.mat#34,34,59,low_rank_residual_k30,0.5086226618160891,7
simMed_test.mat,simMed_test.mat#34,34,59,raw,0.19672487250804926,7
simMed_test.mat,simMed_test.mat#34,34,59,tpsscs_finished_detector,0.5239654973080636,7
simMed_test.mat,simMed_test.mat#34,34,59,tpsscs_trainable_gate,0.48923642586038857,7
simMed_test.mat,simMed_test.mat#35,35,55,low_rank_residual_k30,0.4743319501139853,7
simMed_test.mat,simMed_test.mat#35,35,55,raw,0.3110321359631801,7
simMed_test.mat,simMed_test.mat#35,35,55,tpsscs_finished_detector,0.5242626205828328,7
simMed_test.mat,simMed_test.mat#35,35,55,tpsscs_trainable_gate,0.5171721697251429,7
simMed_test.mat,simMed_test.mat#36,36,13,low_rank_residual_k30,0.5859731885579876,7
simMed_test.mat,simMed_test.mat#36,36,13,raw,0.23194249975796596,7
simMed_test.mat,simMed_test.mat#36,36,13,tpsscs_finished_detector,0.6628962654810646,7
simMed_test.mat,simMed_test.mat#36,36,13,tpsscs_trainable_gate,0.6701864736328723,7
simMed_test.mat,simMed_test.mat#38,38,43,low_rank_residual_k30,0.5528705615032924,7
simMed_test.mat,simMed_test.mat#38,38,43,raw,0.28155273204592807,7
simMed_test.mat,simMed_test.mat#38,38,43,tpsscs_finished_detector,0.5720730518499565,7
simMed_test.mat,simMed_test.mat#38,38,43,tpsscs_trainable_gate,0.5052190448657848,7
simMed_test.mat,simMed_test.mat#39,39,36,low_rank_residual_k30,0.5118013420681856,7
simMed_test.mat,simMed_test.mat#39,39,36,raw,0.24748877271114234,7
simMed_test.mat,simMed_test.mat#39,39,36,tpsscs_finished_detector,0.5278991256548508,7
simMed_test.mat,simMed_test.mat#39,39,36,tpsscs_trainable_gate,0.53137906175709,7
simMed_test.mat,simMed_test.mat#40,40,28,low_rank_residual_k30,0.5273502820076713,7
simMed_test.mat,simMed_test.mat#40,40,28,raw,0.30831799814669275,7
simMed_test.mat,simMed_test.mat#40,40,28,tpsscs_finished_detector,0.5772646050648041,7
simMed_test.mat,simMed_test.mat#40,40,28,tpsscs_trainable_gate,0.5803769785486156,7
simMed_test.mat,simMed_test.mat#41,41,55,low_rank_residual_k30,0.5106955864776217,7
simMed_test.mat,simMed_test.mat#41,41,55,raw,0.21103213596318013,7
simMed_test.mat,simMed_test.mat#41,41,55,tpsscs_finished_detector,0.5470592228412581,7
simMed_test.mat,simMed_test.mat#41,41,55,tpsscs_trainable_gate,0.4854233174381137,7
simMed_test.mat,simMed_test.mat#42,42,31,low_rank_residual_k30,0.46788285559918147,7
simMed_test.mat,simMed_test.mat#42,42,31,raw,0.3271138773075541,7
simMed_test.mat,simMed_test.mat#42,42,31,tpsscs_finished_detector,0.5510931849256312,7
simMed_test.mat,simMed_test.mat#42,42,31,tpsscs_trainable_gate,0.621723682085212,7
simMed_test.mat,simMed_test.mat#43,43,49,low_rank_residual_k30,0.552199025766573,7
simMed_test.mat,simMed_test.mat#43,43,49,raw,0.4263486856305186,7
simMed_test.mat,simMed_test.mat#43,43,49,tpsscs_finished_detector,0.5959497996724165,7
simMed_test.mat,simMed_test.mat#43,43,49,tpsscs_trainable_gate,0.5521990257665731,7
simMed_test.mat,simMed_test.mat#44,44,38,low_rank_residual_k30,0.5138749281277623,7
simMed_test.mat,simMed_test.mat#44,44,38,raw,0.2209037715986201,7
simMed_test.mat,simMed_test.mat#44,44,38,tpsscs_finished_detector,0.619138086022499,7
simMed_test.mat,simMed_test.mat#44,44,38,tpsscs_trainable_gate,0.5999029707874187,7
