label_budget,pfa,n_pair_observations,n_items,n_seeds,mean_delta_compact_minus_low_label_hgb,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
128,0.003,630,210,3,-0.06947641939890317,-0.07709661023016995,-0.06199574593559484,0.15714285714285714,0.23809523809523808
128,0.01,630,210,3,-0.056450819698379374,-0.0630608570745359,-0.049895913284541654,0.1349206349206349,0.2523809523809524
256,1e-05,630,210,3,-0.07394618009840394,-0.0883911706009151,-0.05981458458950985,0.3349206349206349,0.36507936507936506
256,3e-05,630,210,3,-0.14652655897954223,-0.16010617513876066,-0.13300779783570027,0.1634920634920635,0.21428571428571427
256,0.0001,630,210,3,-0.22860961322792245,-0.24071691696548914,-0.21630408786626965,0.03968253968253968,0.06190476190476191
256,0.0003,630,210,3,-0.20878528325304369,-0.21986213521194908,-0.1970234676284395,0.06031746031746032,0.09047619047619047
256,0.001,630,210,3,-0.13145843213163366,-0.13992830707854276,-0.12319064013085869,0.05714285714285714,0.12857142857142856
256,0.003,630,210,3,-0.07794405164684032,-0.08557115913992157,-0.07055579933909997,0.10793650793650794,0.20317460317460317
256,0.01,630,210,3,-0.06397643001219089,-0.07076842142795955,-0.0576224603094222,0.1,0.21587301587301588
512,1e-05,630,210,3,-0.11738411258089076,-0.13240349886607505,-0.10183204137031959,0.2873015873015873,0.30793650793650795
512,3e-05,630,210,3,-0.18036380039206565,-0.1957017682623544,-0.16670929943112253,0.1492063492063492,0.1761904761904762
512,0.0001,630,210,3,-0.25787759724603604,-0.27114120636397393,-0.24457998625234645,0.03333333333333333,0.06507936507936508
512,0.0003,630,210,3,-0.22028279040937548,-0.2315803099721432,-0.2079155878430148,0.046031746031746035,0.07777777777777778
512,0.001,630,210,3,-0.13566052116742386,-0.1445761915928258,-0.12691446765674072,0.06190476190476191,0.13174603174603175
512,0.003,630,210,3,-0.08149562326718993,-0.08926567125881157,-0.073596026289133,0.11746031746031746,0.20634920634920634
512,0.01,630,210,3,-0.06718885425129728,-0.07447766522535888,-0.06052668488003657,0.10317460317460317,0.20476190476190476
all,1e-05,630,210,3,-0.17008734112037724,-0.18561441075534416,-0.1545259904766006,0.19523809523809524,0.21904761904761905
all,3e-05,630,210,3,-0.22561584924313902,-0.24131002427080658,-0.21075187269765214,0.10793650793650794,0.12698412698412698
all,0.0001,630,210,3,-0.29061148413242693,-0.30466896701386975,-0.27722810371025763,0.01904761904761905,0.03650793650793651
all,0.0003,630,210,3,-0.25513198113274227,-0.2669080413073143,-0.24318741520630957,0.014285714285714285,0.0380952380952381
all,0.001,630,210,3,-0.16559804369914685,-0.17465008307508426,-0.1571511075647245,0.011111111111111112,0.046031746031746035
all,0.003,630,210,3,-0.10787541898049467,-0.11640207794496779,-0.10041353468091073,0.03650793650793651,0.10476190476190476
all,0.01,630,210,3,-0.09308100392220768,-0.10068739005587511,-0.08612355908768327,0.023809523809523808,0.07936507936507936
