asset,item_id,image_index,pfa_target,target_method,comparator,target_pd,comparator_pd,delta_pd,target_empirical_pfa,target_count,outcome
simMed_test.mat,simMed_test.mat#112,112,0.003,tpsscs_finished_detector,raw,0.8936170212765957,0.3829787234042553,0.5106382978723404,0.0029928690314403,47,win
simMed_test.mat,simMed_test.mat#112,112,0.01,tpsscs_finished_detector,raw,0.9361702127659576,0.5531914893617021,0.38297872340425543,0.0099864099314388,47,win
simMed_test.mat,simMed_test.mat#113,113,1e-05,tpsscs_finished_detector,raw,0.1428571428571428,0.1428571428571428,0.0,0.0,14,tie
simMed_test.mat,simMed_test.mat#113,113,3e-05,tpsscs_finished_detector,raw,0.2857142857142857,0.1428571428571428,0.1428571428571429,1.5262049387991818e-05,14,win
simMed_test.mat,simMed_test.mat#113,113,0.0001,tpsscs_finished_detector,raw,0.3571428571428571,0.2142857142857142,0.1428571428571429,9.157229632795092e-05,14,win
simMed_test.mat,simMed_test.mat#113,113,0.0003,tpsscs_finished_detector,raw,0.5,0.3571428571428571,0.1428571428571429,0.0002899789383718,14,win
simMed_test.mat,simMed_test.mat#113,113,0.001,tpsscs_finished_detector,raw,0.5,0.4285714285714285,0.07142857142857151,0.0009920332102194,14,win
simMed_test.mat,simMed_test.mat#113,113,0.003,tpsscs_finished_detector,raw,0.5,0.5,0.0,0.0029913616800463,14,tie
simMed_test.mat,simMed_test.mat#113,113,0.01,tpsscs_finished_detector,raw,0.5,0.7142857142857143,-0.2142857142857143,0.0099966423491346,14,loss
simMed_test.mat,simMed_test.mat#114,114,1e-05,tpsscs_finished_detector,raw,0.25,0.0833333333333333,0.16666666666666669,0.0,36,win
simMed_test.mat,simMed_test.mat#114,114,3e-05,tpsscs_finished_detector,raw,0.3333333333333333,0.1111111111111111,0.2222222222222222,1.5267175572519083e-05,36,win
simMed_test.mat,simMed_test.mat#114,114,0.0001,tpsscs_finished_detector,raw,0.4166666666666667,0.2222222222222222,0.19444444444444448,9.16030534351145e-05,36,win
simMed_test.mat,simMed_test.mat#114,114,0.0003,tpsscs_finished_detector,raw,0.6111111111111112,0.2222222222222222,0.38888888888888895,0.0002900763358778,36,win
simMed_test.mat,simMed_test.mat#114,114,0.001,tpsscs_finished_detector,raw,0.75,0.3055555555555556,0.4444444444444444,0.0009923664122137,36,win
simMed_test.mat,simMed_test.mat#114,114,0.003,tpsscs_finished_detector,raw,0.9166666666666666,0.4444444444444444,0.4722222222222222,0.0029923664122137,36,win
simMed_test.mat,simMed_test.mat#114,114,0.01,tpsscs_finished_detector,raw,0.9444444444444444,0.6388888888888888,0.3055555555555556,0.01,36,win
simMed_test.mat,simMed_test.mat#115,115,1e-05,tpsscs_finished_detector,raw,0.0909090909090909,0.0454545454545454,0.0454545454545455,0.0,22,win
simMed_test.mat,simMed_test.mat#115,115,3e-05,tpsscs_finished_detector,raw,0.0909090909090909,0.0454545454545454,0.0454545454545455,1.5263913056751228e-05,22,win
