label_budget,label_budget_positive_frames,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
8,8,simWind_test.mat,0.0001,0.3732452108276595,0.617156919402023,-0.2439117085743635,9.160522876818475e-05,9.141139612144475e-05,105,315,3,0.06349206349206349,True,True,False,0.0001
8,8,simMed_test.mat,3e-05,0.23292866331646772,0.3628976406976455,-0.12996897738117777,1.526753812803079e-05,1.4976756231234052e-05,105,315,3,0.1873015873015873,True,True,False,3e-05
8,8,combined,0.0003,0.5261399631103596,0.7196348931084481,-0.1934949299980884,0.0002900832244325381,0.0002900105247019594,210,630,3,0.07777777777777778,True,True,False,0.0003
8,8,combined,1e-05,0.18453205303478548,0.28011353144117096,-0.09558147840638544,0.0,0.0,210,630,3,0.3126984126984127,True,True,False,1e-05
8,8,combined,0.001,0.7028664531528073,0.8310565986979376,-0.12819014554513028,0.0009923899783219553,0.0009923899783220013,210,630,3,0.08253968253968254,True,True,False,0.001
8,8,simMed_test.mat,0.0003,0.5154646610355453,0.6961121994874677,-0.18064753845192238,0.0002900832244325381,0.00028998628257783326,105,315,3,0.09523809523809523,True,True,False,0.0003
8,8,simMed_test.mat,0.0001,0.3631281887560889,0.5623655958287399,-0.19923740707265106,9.160522876818475e-05,9.145978194388041e-05,105,315,3,0.07936507936507936,True,True,False,0.0001
8,8,simMed_test.mat,0.003,0.8138666025670928,0.8872280297658605,-0.07336142719876765,0.0029924374730939812,0.002992437473094035,105,315,3,0.18095238095238095,True,True,False,0.003
8,8,simMed_test.mat,0.001,0.6957533928816516,0.8163336446439331,-0.12058025176228149,0.0009923899783219553,0.0009923899783220013,105,315,3,0.1111111111111111,True,True,False,0.001
8,8,simWind_test.mat,3e-05,0.23871466421913762,0.4063151867356915,-0.16760052251655394,1.526753812803079e-05,1.5122117940011571e-05,105,315,3,0.1873015873015873,True,True,False,3e-05
8,8,simWind_test.mat,0.003,0.812213539733551,0.8964669608938522,-0.08425342116030116,0.0029924374730939812,0.002992437473094035,105,315,3,0.09206349206349207,True,True,False,0.003
8,8,simWind_test.mat,0.01,0.8663473290962685,0.930176209211827,-0.0638288801155585,0.009992820396478945,0.009992578088462798,105,315,3,0.1111111111111111,True,True,False,0.01
8,8,simMed_test.mat,1e-05,0.184544890419632,0.2703718275080352,-0.08582693708840318,0.0,0.0,105,315,3,0.3238095238095238,True,True,False,1e-05
8,8,simWind_test.mat,1e-05,0.18451921564993898,0.2898552353743067,-0.10533601972436768,0.0,0.0,105,315,3,0.30158730158730157,True,True,False,1e-05
8,8,combined,0.01,0.8677902575913438,0.9325130699312031,-0.0647228123398593,0.009992820396478945,0.009992360043661023,210,630,3,0.11428571428571428,True,True,False,0.01
8,8,combined,3e-05,0.2358216637678027,0.3846064137166685,-0.14878474994886584,1.526753812803079e-05,1.5049437085622811e-05,210,630,3,0.1873015873015873,True,True,False,3e-05
8,8,combined,0.003,0.813040071150322,0.8918474953298562,-0.0788074241795344,0.0029924374730939812,0.002992437473094035,210,630,3,0.1365079365079365,True,True,False,0.003
