calibration_mode,calibration_asset,asset,image_index,item_id,method,pfa_target,pd,empirical_pfa,target_count,background_count,false_alarms,detections,threshold_policy
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,low_rank_residual_k30,0.0003,0.782608695652174,0.0021827728847709613,23,65513,143,161,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,tpsscs_finished_detector,0.0003,0.8260869565217391,0.0022285653229130098,23,65513,146,165,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,raw,0.001,0.13043478260869565,0.0015264146047349381,23,65513,100,103,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,low_rank_residual_k30,0.001,0.8260869565217391,0.004594507960252164,23,65513,301,320,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,tpsscs_finished_detector,0.001,0.8695652173913043,0.004640300398394212,23,65513,304,324,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,raw,0.003,0.34782608695652173,0.004212904309068429,23,65513,276,284,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,low_rank_residual_k30,0.003,0.8260869565217391,0.009341657380977822,23,65513,612,631,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,tpsscs_finished_detector,0.003,0.8695652173913043,0.00938744981911987,23,65513,615,635,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,raw,0.01,0.6086956521739131,0.012882939263962877,23,65513,844,858,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,low_rank_residual_k30,0.01,0.8695652173913043,0.02194984201608841,23,65513,1438,1458,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,9,simMed_test.mat#9,tpsscs_finished_detector,0.01,0.9130434782608695,0.02199563445423046,23,65513,1441,1462,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,raw,1e-05,0.034482758620689655,1.527230520174715e-05,58,65478,1,3,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,low_rank_residual_k30,1e-05,0.7931034482758621,0.0021686673386480957,58,65478,142,188,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,tpsscs_finished_detector,1e-05,0.8620689655172413,0.0021839396438498426,58,65478,143,193,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,raw,3e-05,0.06896551724137931,1.527230520174715e-05,58,65478,1,5,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,low_rank_residual_k30,3e-05,0.8103448275862069,0.0026573811051040044,58,65478,174,221,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,tpsscs_finished_detector,3e-05,0.8793103448275862,0.0026726534103057517,58,65478,175,226,target_free_background_fixed_threshold
