asset,item_id,image_index,target_count,pfa_target,target_pd,comparator_pd,comparator,delta_pd
simMed_test.mat,simMed_test.mat#102,102,39,1e-05,0.2051282051282051,0.1538461538461538,tpsscs_trainable_gate,0.051282051282051294
simMed_test.mat,simMed_test.mat#102,102,39,3e-05,0.2051282051282051,0.1538461538461538,tpsscs_trainable_gate,0.051282051282051294
simMed_test.mat,simMed_test.mat#102,102,39,0.0001,0.358974358974359,0.2307692307692307,tpsscs_trainable_gate,0.12820512820512828
simMed_test.mat,simMed_test.mat#102,102,39,0.0003,0.4358974358974359,0.3846153846153846,tpsscs_trainable_gate,0.05128205128205132
simMed_test.mat,simMed_test.mat#102,102,39,0.001,0.717948717948718,0.6666666666666666,tpsscs_trainable_gate,0.05128205128205132
simMed_test.mat,simMed_test.mat#102,102,39,0.003,0.7948717948717948,0.8205128205128205,tpsscs_trainable_gate,-0.02564102564102566
simMed_test.mat,simMed_test.mat#102,102,39,0.01,0.8717948717948718,0.8974358974358975,tpsscs_trainable_gate,-0.02564102564102566
simMed_test.mat,simMed_test.mat#104,104,25,1e-05,0.32,0.12,low_rank_residual_k30,0.2
simMed_test.mat,simMed_test.mat#104,104,25,3e-05,0.36,0.16,low_rank_residual_k30,0.19999999999999998
simMed_test.mat,simMed_test.mat#104,104,25,0.0001,0.52,0.32,low_rank_residual_k30,0.2
simMed_test.mat,simMed_test.mat#104,104,25,0.0003,0.72,0.52,low_rank_residual_k30,0.19999999999999996
simMed_test.mat,simMed_test.mat#104,104,25,0.001,0.8,0.6,low_rank_residual_k30,0.20000000000000007
simMed_test.mat,simMed_test.mat#104,104,25,0.003,0.8,0.64,low_rank_residual_k30,0.16000000000000003
simMed_test.mat,simMed_test.mat#104,104,25,0.01,0.88,0.72,low_rank_residual_k30,0.16000000000000003
simMed_test.mat,simMed_test.mat#104,104,25,1e-05,0.32,0.24,raw,0.08000000000000002
simMed_test.mat,simMed_test.mat#104,104,25,3e-05,0.36,0.24,raw,0.12
simMed_test.mat,simMed_test.mat#104,104,25,0.0001,0.52,0.28,raw,0.24
simMed_test.mat,simMed_test.mat#104,104,25,0.0003,0.72,0.36,raw,0.36
simMed_test.mat,simMed_test.mat#104,104,25,0.001,0.8,0.4,raw,0.4
simMed_test.mat,simMed_test.mat#104,104,25,0.003,0.8,0.48,raw,0.32000000000000006
simMed_test.mat,simMed_test.mat#104,104,25,0.01,0.88,0.56,raw,0.31999999999999995
simMed_test.mat,simMed_test.mat#104,104,25,1e-05,0.32,0.2,tpsscs_trainable_gate,0.12
simMed_test.mat,simMed_test.mat#104,104,25,3e-05,0.36,0.2,tpsscs_trainable_gate,0.15999999999999998
simMed_test.mat,simMed_test.mat#104,104,25,0.0001,0.52,0.36,tpsscs_trainable_gate,0.16000000000000003
simMed_test.mat,simMed_test.mat#104,104,25,0.0003,0.72,0.64,tpsscs_trainable_gate,0.07999999999999996
simMed_test.mat,simMed_test.mat#104,104,25,0.001,0.8,0.96,tpsscs_trainable_gate,-0.15999999999999992
simMed_test.mat,simMed_test.mat#104,104,25,0.003,0.8,0.96,tpsscs_trainable_gate,-0.15999999999999992
simMed_test.mat,simMed_test.mat#104,104,25,0.01,0.88,1.0,tpsscs_trainable_gate,-0.12
simMed_test.mat,simMed_test.mat#105,105,26,1e-05,0.1923076923076923,0.1153846153846153,low_rank_residual_k30,0.076923076923077
simMed_test.mat,simMed_test.mat#105,105,26,3e-05,0.2692307692307692,0.1923076923076923,low_rank_residual_k30,0.07692307692307693
simMed_test.mat,simMed_test.mat#105,105,26,0.0001,0.5,0.4230769230769231,low_rank_residual_k30,0.07692307692307693
simMed_test.mat,simMed_test.mat#105,105,26,0.0003,0.6153846153846154,0.5384615384615384,low_rank_residual_k30,0.07692307692307698
simMed_test.mat,simMed_test.mat#105,105,26,0.001,0.8076923076923077,0.7307692307692307,low_rank_residual_k30,0.07692307692307698
simMed_test.mat,simMed_test.mat#105,105,26,0.003,0.8846153846153846,0.8076923076923077,low_rank_residual_k30,0.07692307692307687
simMed_test.mat,simMed_test.mat#105,105,26,0.01,0.8846153846153846,0.8461538461538461,low_rank_residual_k30,0.038461538461538436
simMed_test.mat,simMed_test.mat#105,105,26,1e-05,0.1923076923076923,0.1153846153846153,raw,0.076923076923077
simMed_test.mat,simMed_test.mat#105,105,26,3e-05,0.2692307692307692,0.1153846153846153,raw,0.1538461538461539
simMed_test.mat,simMed_test.mat#105,105,26,0.0001,0.5,0.1923076923076923,raw,0.3076923076923077
simMed_test.mat,simMed_test.mat#105,105,26,0.0003,0.6153846153846154,0.2692307692307692,raw,0.3461538461538462
simMed_test.mat,simMed_test.mat#105,105,26,0.001,0.8076923076923077,0.3461538461538461,raw,0.4615384615384616
simMed_test.mat,simMed_test.mat#105,105,26,0.003,0.8846153846153846,0.4230769230769231,raw,0.4615384615384615
simMed_test.mat,simMed_test.mat#105,105,26,0.01,0.8846153846153846,0.5384615384615384,raw,0.34615384615384615
simMed_test.mat,simMed_test.mat#105,105,26,1e-05,0.1923076923076923,0.0769230769230769,tpsscs_trainable_gate,0.11538461538461539
simMed_test.mat,simMed_test.mat#105,105,26,3e-05,0.2692307692307692,0.1153846153846153,tpsscs_trainable_gate,0.1538461538461539
simMed_test.mat,simMed_test.mat#105,105,26,0.0001,0.5,0.3846153846153846,tpsscs_trainable_gate,0.11538461538461542
simMed_test.mat,simMed_test.mat#105,105,26,0.0003,0.6153846153846154,0.5384615384615384,tpsscs_trainable_gate,0.07692307692307698
simMed_test.mat,simMed_test.mat#105,105,26,0.001,0.8076923076923077,0.9230769230769232,tpsscs_trainable_gate,-0.11538461538461553
simMed_test.mat,simMed_test.mat#105,105,26,0.003,0.8846153846153846,1.0,tpsscs_trainable_gate,-0.11538461538461542
simMed_test.mat,simMed_test.mat#105,105,26,0.01,0.8846153846153846,1.0,tpsscs_trainable_gate,-0.11538461538461542
simMed_test.mat,simMed_test.mat#107,107,49,1e-05,0.1224489795918367,0.0408163265306122,low_rank_residual_k30,0.0816326530612245
simMed_test.mat,simMed_test.mat#107,107,49,3e-05,0.1428571428571428,0.0612244897959183,low_rank_residual_k30,0.0816326530612245
simMed_test.mat,simMed_test.mat#107,107,49,0.0001,0.3061224489795918,0.2857142857142857,low_rank_residual_k30,0.02040816326530609
simMed_test.mat,simMed_test.mat#107,107,49,0.0003,0.4693877551020408,0.4489795918367347,low_rank_residual_k30,0.02040816326530609
simMed_test.mat,simMed_test.mat#107,107,49,0.001,0.6530612244897959,0.6326530612244898,low_rank_residual_k30,0.020408163265306034
simMed_test.mat,simMed_test.mat#107,107,49,0.003,0.7142857142857143,0.7142857142857143,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#107,107,49,0.01,0.8571428571428571,0.8571428571428571,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#107,107,49,1e-05,0.1224489795918367,0.0408163265306122,raw,0.0816326530612245
simMed_test.mat,simMed_test.mat#107,107,49,3e-05,0.1428571428571428,0.1224489795918367,raw,0.02040816326530609
simMed_test.mat,simMed_test.mat#107,107,49,0.0001,0.3061224489795918,0.2244897959183673,raw,0.0816326530612245
simMed_test.mat,simMed_test.mat#107,107,49,0.0003,0.4693877551020408,0.3877551020408163,raw,0.08163265306122447
