asset,pfa_target,method,method_family,pd_mean,empirical_pfa_mean,n_items
simMed_test.mat,0.003,tpsscs_finished_detector,proposed,0.8138666025670929,0.002992437473094035,105
simMed_test.mat,0.01,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.8406785561742827,0.009992820396478995,105
simMed_test.mat,0.01,low_rank_residual_k30_global_topk,global,0.8382638287231589,0.009992820396478995,105
simMed_test.mat,0.01,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.8302791969544315,0.009992820396478995,105
simMed_test.mat,0.01,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.8476619257223119,0.009992820396478995,105
simMed_test.mat,0.01,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.00736210216141831,0.009992820396478995,105
simMed_test.mat,0.01,raw_ca_cfar_local,classical_local_cfar,0.7753874013216602,0.009992820396478995,105
simMed_test.mat,0.01,raw_global_topk,global,0.6340198282838332,0.009992820396478995,105
simMed_test.mat,0.01,raw_goca_cfar_local,classical_local_cfar,0.7532850524057834,0.009992820396478995,105
simMed_test.mat,0.01,raw_os75_cfar_local,classical_local_cfar,0.7736590909634624,0.009992820396478995,105
simMed_test.mat,0.01,raw_soca_cfar_local,classical_local_cfar,0.0090692286148032,0.009992820396478995,105
simMed_test.mat,0.01,tpsscs_finished_detector,proposed,0.8692331860864192,0.009992820396478995,105
simWind_test.mat,1e-05,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.09138533890598528,0.0,105
simWind_test.mat,1e-05,low_rank_residual_k30_global_topk,global,0.10406778999802849,0.0,105
simWind_test.mat,1e-05,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.09303911380666288,0.0,105
simWind_test.mat,1e-05,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.08893086283791657,0.0,105
simWind_test.mat,1e-05,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.004073994204156571,0.0,105
simWind_test.mat,1e-05,raw_ca_cfar_local,classical_local_cfar,0.07416598258980198,0.0,105
simWind_test.mat,1e-05,raw_global_topk,global,0.0815710388412704,0.0,105
simWind_test.mat,1e-05,raw_goca_cfar_local,classical_local_cfar,0.07382804854956966,0.0,105
simWind_test.mat,1e-05,raw_os75_cfar_local,classical_local_cfar,0.07814808261955117,0.0,105
simWind_test.mat,1e-05,raw_soca_cfar_local,classical_local_cfar,0.004357927161146121,0.0,105
simWind_test.mat,1e-05,tpsscs_finished_detector,proposed,0.184519215649939,0.0,105
simWind_test.mat,3e-05,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.14742523112947958,1.526753812803079e-05,105
simWind_test.mat,3e-05,low_rank_residual_k30_global_topk,global,0.163758064783849,1.526753812803079e-05,105
simWind_test.mat,3e-05,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.1457879054081044,1.526753812803079e-05,105
simWind_test.mat,3e-05,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.1479025331788767,1.526753812803079e-05,105
simWind_test.mat,3e-05,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.00480941658706091,1.526753812803079e-05,105
simWind_test.mat,3e-05,raw_ca_cfar_local,classical_local_cfar,0.1115557299352657,1.526753812803079e-05,105
simWind_test.mat,3e-05,raw_global_topk,global,0.12712998216772955,1.526753812803079e-05,105
simWind_test.mat,3e-05,raw_goca_cfar_local,classical_local_cfar,0.10815980159408951,1.526753812803079e-05,105
simWind_test.mat,3e-05,raw_os75_cfar_local,classical_local_cfar,0.11874432974599186,1.526753812803079e-05,105
simWind_test.mat,3e-05,raw_soca_cfar_local,classical_local_cfar,0.0051686483114899125,1.526753812803079e-05,105
simWind_test.mat,3e-05,tpsscs_finished_detector,proposed,0.23871466421913765,1.526753812803079e-05,105
simWind_test.mat,0.0001,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.29741652070345204,9.160522876818475e-05,105
simWind_test.mat,0.0001,low_rank_residual_k30_global_topk,global,0.31075641617749705,9.160522876818475e-05,105
simWind_test.mat,0.0001,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.2918840177794008,9.160522876818475e-05,105
simWind_test.mat,0.0001,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.2955315080417721,9.160522876818475e-05,105
simWind_test.mat,0.0001,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.005324217101861425,9.160522876818475e-05,105
simWind_test.mat,0.0001,raw_ca_cfar_local,classical_local_cfar,0.21247618502501958,9.160522876818475e-05,105
simWind_test.mat,0.0001,raw_global_topk,global,0.21430520549964138,9.160522876818475e-05,105
simWind_test.mat,0.0001,raw_goca_cfar_local,classical_local_cfar,0.2085579623603874,9.160522876818475e-05,105
simWind_test.mat,0.0001,raw_os75_cfar_local,classical_local_cfar,0.22108762165820933,9.160522876818475e-05,105
simWind_test.mat,0.0001,raw_soca_cfar_local,classical_local_cfar,0.006473999514470589,9.160522876818475e-05,105
simWind_test.mat,0.0001,tpsscs_finished_detector,proposed,0.37324521082765943,9.160522876818475e-05,105
simWind_test.mat,0.0003,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.4765116413498008,0.00029008322443258505,105
simWind_test.mat,0.0003,low_rank_residual_k30_global_topk,global,0.486945497023541,0.00029008322443258505,105
simWind_test.mat,0.0003,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.4641234573763571,0.00029008322443258505,105
simWind_test.mat,0.0003,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.4711969676070305,0.00029008322443258505,105
simWind_test.mat,0.0003,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.0055109584650733755,0.00029008322443258505,105
simWind_test.mat,0.0003,raw_ca_cfar_local,classical_local_cfar,0.3485400919788131,0.00029008322443258505,105
simWind_test.mat,0.0003,raw_global_topk,global,0.29322671847155846,0.00029008322443258505,105
simWind_test.mat,0.0003,raw_goca_cfar_local,classical_local_cfar,0.33924569000205856,0.00029008322443258505,105
simWind_test.mat,0.0003,raw_os75_cfar_local,classical_local_cfar,0.35503144898456684,0.00029008322443258505,105
simWind_test.mat,0.0003,raw_soca_cfar_local,classical_local_cfar,0.007928332897248444,0.00029008322443258505,105
simWind_test.mat,0.0003,tpsscs_finished_detector,proposed,0.5368152651851739,0.00029008322443258505,105
simWind_test.mat,0.001,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.6787585226814273,0.0009923899783220015,105
simWind_test.mat,0.001,low_rank_residual_k30_global_topk,global,0.6696725698476255,0.0009923899783220015,105
simWind_test.mat,0.001,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.6720604569437125,0.0009923899783220015,105
