pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.001,0.9144832888512303,0.8070175438596491,0.0009926846775302005,57,65479,65,65,111,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.653214370405745,0.9122807017543859,0.0029933261045526046,57,65479,196,196,248,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.20496834630899086,0.9649122807017544,0.009987935063150018,57,65479,654,654,709,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,12,simWind_test.mat#12,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9989478746595442,0.5882352941176471,0.0,17,65519,0,0,10,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9946553944480769,0.7058823529411765,1.526274821044277e-05,17,65519,1,1,13,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9841489436489599,0.7058823529411765,9.157648926265664e-05,17,65519,6,6,18,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9502939950228358,0.7647058823529411,0.00028999221599841266,17,65519,19,19,32,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.8341001862942008,0.7647058823529411,0.0009920786336787802,17,65519,65,65,78,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.5240875433123016,0.8235294117647058,0.0029914986492467835,17,65519,196,196,210,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.19481938306907617,1.0,0.009997100077840016,17,65519,655,655,672,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9995863755118389,0.43333333333333335,0.0,30,65506,0,0,13,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9995386524569554,0.4666666666666667,1.526577718071627e-05,30,65506,1,1,15,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9990056337356961,0.6,9.159466308429762e-05,30,65506,6,6,24,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9912913423814768,0.6333333333333333,0.00029004976643360914,30,65506,19,19,38,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9172494438280308,0.7666666666666667,0.0009922755167465576,30,65506,65,65,88,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.749668962940961,0.7666666666666667,0.002992092327420389,30,65506,196,196,219,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.349005076278952,0.9333333333333333,0.009999084053369156,30,65506,655,655,683,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9997434896163773,0.18604651162790697,0.0,43,65493,0,0,8,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9996852511456161,0.2558139534883721,1.526880735345762e-05,43,65493,1,1,12,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9993938508929949,0.3953488372093023,9.161284412074573e-05,43,65493,6,6,23,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.99032512413772,0.6976744186046512,0.0002901073397156948,43,65493,19,19,49,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9377460309241004,0.8372093023255814,0.0009924724779747454,43,65493,65,65,101,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7736891385211883,0.9069767441860465,0.0029926862412776936,43,65493,196,196,235,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.38789731217175716,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9995167379225687,0.7391304347826086,0.0,23,65513,0,0,17,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.999515323892466,0.7391304347826086,1.526414604734938e-05,23,65513,1,1,18,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9980698677706195,0.782608695652174,9.158487628409629e-05,23,65513,6,6,24,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9644151648338696,0.9130434782608695,0.00029001877489963823,23,65513,19,19,40,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.8417725735183598,0.9565217391304348,0.0009921694930777097,23,65513,65,65,87,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.6124282920613168,0.9565217391304348,0.0029917726252804786,23,65513,196,196,218,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.23298767848721422,0.9565217391304348,0.009998015661013845,23,65513,655,655,677,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9997906544020543,0.1724137931034483,0.0,29,65507,0,0,5,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9997531356044748,0.20689655172413793,1.5265544140320883e-05,29,65507,1,1,7,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9986692551568686,0.7931034482758621,9.159326484192529e-05,29,65507,6,6,29,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9774817148678553,0.7931034482758621,0.00029004533866609675,29,65507,19,19,42,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.8324222052137825,0.8620689655172413,0.0009922603691208574,29,65507,65,65,90,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.46376794990681103,0.896551724137931,0.002992046651502893,29,65507,196,196,222,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.14621355270637845,0.9310344827586207,0.009998931411910177,29,65507,655,655,682,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,17,simWind_test.mat#17,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9996565536128827,0.6730769230769231,0.0,52,65484,0,0,35,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9996277958382015,0.6923076923076923,1.5270905870136215e-05,52,65484,1,1,37,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.999216228021088,0.8846153846153846,9.16254352208173e-05,52,65484,6,6,52,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9933681987912625,0.9423076923076923,0.0002901472115325881,52,65484,19,19,68,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9350332284406304,0.9807692307692307,0.000992608881558854,52,65484,65,65,116,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.751042024271103,1.0,0.0029930975505466986,52,65484,196,196,248,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,18,simWind_test.mat#18,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
