asset,comparator,pfa_target,n_items,target_pd_mean,comparator_pd_mean,mean_delta_pd,median_delta_pd,q05_delta_pd,min_delta_pd,max_delta_pd,bootstrap_ci95_low,bootstrap_ci95_high,wins,ties,losses,win_fraction,nonnegative_fraction,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,positive_bootstrap_ci,significant_bh_0p05
combined,tpsscs_trainable_gate,0.01,210,0.8677902575913439,0.9209625489677481,-0.05317229137640411,-0.032522474881015284,-0.20016447368421056,-0.4285714285714286,0.02857142857142858,-0.06384730471499592,-0.043268020358213574,4,61,145,0.01904761904761905,0.30952380952380953,-0.9463087248322147,1.0,1.0,False,False
simMed_test.mat,low_rank_residual_k30,1e-05,105,0.184544890419632,0.09885361114797109,0.08569127927166094,0.0769230769230769,0.0033898305084745814,0.0,0.2666666666666667,0.07427184487004294,0.09755807812828513,99,6,0,0.9428571428571428,1.0,1.0,1.5777218104420236e-30,6.6264316038565e-30,True,True
simMed_test.mat,low_rank_residual_k30,3e-05,105,0.23292866331646772,0.1503500214703694,0.08257864184609832,0.0754716981132075,0.0,0.0,0.26666666666666666,0.0714087858154841,0.09439344235945744,97,8,0,0.9238095238095239,1.0,1.0,6.310887241768095e-30,2.208810534618833e-29,True,True
simMed_test.mat,low_rank_residual_k30,0.0001,105,0.3631281887560888,0.2943857234377076,0.06874246531838131,0.054054054054054,0.0,0.0,0.26666666666666666,0.0586543098210896,0.07946928217230605,94,11,0,0.8952380952380953,1.0,1.0,5.048709793414476e-29,1.3252863207712998e-28,True,True
simMed_test.mat,low_rank_residual_k30,0.0003,105,0.5154646610355453,0.45748134897575243,0.05798331205979292,0.04166666666666674,0.0,0.0,0.26666666666666666,0.047941847379345086,0.06882355744456356,83,22,0,0.7904761904761904,1.0,1.0,1.0339757656912846e-25,2.0356397887047165e-25,True,True
simMed_test.mat,low_rank_residual_k30,0.001,105,0.6957533928816516,0.6488084401825716,0.04694495269908025,0.03448275862068961,0.0,0.0,0.26666666666666666,0.037229744663629584,0.05754619665941892,67,38,0,0.638095238095238,1.0,1.0,6.776263578034403e-21,1.1537962308545064e-20,True,True
simMed_test.mat,low_rank_residual_k30,0.003,105,0.8138666025670929,0.7763674110573479,0.037499191509744983,0.016949152542372947,0.0,0.0,0.2666666666666666,0.02845410699830423,0.047153032302900334,55,50,0,0.5238095238095238,1.0,1.0,2.7755575615628914e-17,4.06651456694098e-17,True,True
simMed_test.mat,low_rank_residual_k30,0.01,105,0.8692331860864192,0.8382638287231589,0.030969357363260376,0.0,0.0,0.0,0.2666666666666666,0.022431626869153398,0.040435280023156696,49,56,0,0.4666666666666667,1.0,1.0,1.7763568394002505e-15,2.4868995751603505e-15,True,True
simMed_test.mat,raw,1e-05,105,0.184544890419632,0.07833114276198547,0.10621374765764653,0.09090909090909088,0.0,-0.12,0.3333333333333334,0.09050688721359786,0.12187627053821001,93,10,2,0.8857142857142857,0.9809523809523809,0.9578947368421052,1.1513582683881712e-25,2.1980476032865085e-25,True,True
simMed_test.mat,raw,3e-05,105,0.23292866331646772,0.11489453378068923,0.1180341295357785,0.10638297872340419,0.0,-0.0740740740740741,0.4000000000000001,0.10173613448175062,0.13481713361365985,98,2,5,0.9333333333333333,0.9523809523809523,0.9029126213592233,9.086171692677989e-24,1.6836141665844508e-23,True,True
