asset,item_id,image_index,target_count,tpsscs_auc,comparator_auc,comparator,delta_auc
simWind_test.mat,simWind_test.mat#18,18,52,0.6244347270195262,0.40298756361849614,raw,0.22144716340103004
simWind_test.mat,simWind_test.mat#19,19,24,0.5898242788911556,0.31472432245781057,raw,0.27509995643334506
simWind_test.mat,simWind_test.mat#20,20,24,0.3358754161422597,0.2935732287733614,raw,0.04230218736889829
simWind_test.mat,simWind_test.mat#21,21,17,0.7319622668329643,0.3257724260078762,raw,0.4061898408250881
simWind_test.mat,simWind_test.mat#22,22,52,0.5717700995702986,0.37931574863901435,raw,0.1924543509312842
simWind_test.mat,simWind_test.mat#23,23,55,0.4803925561745915,0.3389981585474327,raw,0.14139439762715877
simWind_test.mat,simWind_test.mat#24,24,37,0.5818174937528369,0.28410796681084877,raw,0.2977095269419881
simWind_test.mat,simWind_test.mat#25,25,30,0.5310824854293821,0.402796291089819,raw,0.12828619433956306
simWind_test.mat,simWind_test.mat#26,26,63,0.4991185608711566,0.26522486400595535,raw,0.23389369686520123
simWind_test.mat,simWind_test.mat#27,27,59,0.5067578278698677,0.4154023228330382,raw,0.09135550503682949
simWind_test.mat,simWind_test.mat#28,28,26,0.596028549044148,0.383610135764135,raw,0.21241841328001304
simWind_test.mat,simWind_test.mat#29,29,26,0.35738247562874176,0.2197086214318208,raw,0.13767385419692096
simWind_test.mat,simWind_test.mat#3,3,28,0.5976893893752743,0.3950360709790797,raw,0.20265331839619455
simWind_test.mat,simWind_test.mat#31,31,25,0.4951636329557603,0.36274544943364057,raw,0.13241818352211976
simWind_test.mat,simWind_test.mat#32,32,27,0.5616077385857227,0.28298259987163615,raw,0.2786251387140865
simWind_test.mat,simWind_test.mat#33,33,36,0.588296151074113,0.4864442992222613,raw,0.10185185185185175
simWind_test.mat,simWind_test.mat#34,34,59,0.4831989330025297,0.23666067045065386,raw,0.24653826255187583
simWind_test.mat,simWind_test.mat#35,35,55,0.5575959539161661,0.33410605634621554,raw,0.22348989756995058
simWind_test.mat,simWind_test.mat#36,36,13,0.7849844545231202,0.2386460734154062,raw,0.5463383811077139
simWind_test.mat,simWind_test.mat#38,38,43,0.572427761079109,0.34762155952872137,raw,0.2248062015503876
simWind_test.mat,simWind_test.mat#39,39,36,0.5025420828089264,0.2686398663955915,raw,0.23390221641333492
simWind_test.mat,simWind_test.mat#40,40,28,0.5653598431600422,0.34714465734479,raw,0.21821518581525218
simWind_test.mat,simWind_test.mat#41,41,55,0.5288774046594399,0.24133516626621043,raw,0.28754223839322945
simWind_test.mat,simWind_test.mat#42,42,31,0.5938579296000362,0.3598639578512173,raw,0.23399397174881897
simWind_test.mat,simWind_test.mat#43,43,49,0.6076211049926852,0.44853534802943135,raw,0.15908575696325383
simWind_test.mat,simWind_test.mat#44,44,38,0.6387745827537256,0.2649641114695002,raw,0.37381047128422534
simWind_test.mat,simWind_test.mat#45,45,35,0.5667914816259417,0.42869624353070357,raw,0.13809523809523816
simWind_test.mat,simWind_test.mat#46,46,51,0.40495146997128595,0.29168300194199714,raw,0.1132684680292888
simWind_test.mat,simWind_test.mat#47,47,28,0.5560227227086075,0.3360569934857544,raw,0.21996572922285312
simWind_test.mat,simWind_test.mat#48,48,25,0.5957737328299026,0.22562120786136708,raw,0.37015252496853557
simWind_test.mat,simWind_test.mat#49,49,33,0.4693671523248808,0.2721663569180088,raw,0.19720079540687202
simWind_test.mat,simWind_test.mat#50,50,25,0.6462313077355094,0.1316777746538914,raw,0.514553533081618
simWind_test.mat,simWind_test.mat#51,51,16,0.5232165359667018,0.25190656210669476,raw,0.27130997386000705
simWind_test.mat,simWind_test.mat#52,52,59,0.4887193920687425,0.38028547604162855,raw,0.10843391602711394
simWind_test.mat,simWind_test.mat#53,53,49,0.5335693616348736,0.18004998693988572,raw,0.35351937469498784
simWind_test.mat,simWind_test.mat#54,54,36,0.5309553812889357,0.41699985477781687,raw,0.11395552651111884
simWind_test.mat,simWind_test.mat#55,55,24,0.35275988672669717,0.3355576557911439,raw,0.017202230935553287
simWind_test.mat,simWind_test.mat#56,56,19,0.5721823460772225,0.22090377159862015,raw,0.35127857447860233
simWind_test.mat,simWind_test.mat#59,59,39,0.709318177995244,0.530417633002432,raw,0.17890054499281194
simWind_test.mat,simWind_test.mat#61,61,51,0.5490413882102445,0.27816250366852646,raw,0.27087888454171805
simWind_test.mat,simWind_test.mat#62,62,26,0.4669434690974683,0.2523465379774705,raw,0.21459693111999784
simWind_test.mat,simWind_test.mat#63,63,58,0.5921046617324585,0.3804375605342907,raw,0.21166710119816778
simWind_test.mat,simWind_test.mat#64,64,16,0.5644065621066948,0.2469365490366983,raw,0.31747001306999656
simWind_test.mat,simWind_test.mat#65,65,30,0.39887457604802434,0.4387802980604838,raw,-0.039905722012459455
simWind_test.mat,simWind_test.mat#67,67,44,0.4914095448824651,0.37329200714669736,raw,0.11811753773576772
simWind_test.mat,simWind_test.mat#69,69,41,0.506483119419873,0.2887244355343404,raw,0.2177586838855326
simWind_test.mat,simWind_test.mat#7,7,50,0.5746409035531106,0.3625929244651049,raw,0.2120479790880057
